G,PG,PG-13,R
,80021740,37652565,40168080
,15278,26404753,49874933
,115000000,56083966,28501651
,33451479,293501675,16005978
,17000000,18600911,1075288
,8044906,163947053,499263
,3117666,96917897,172825435
,1250798,93952276,148085755
,1111615,90703745,121945720
,177343675,94125426,96067179
,234903076,95001343,3254172
,44540956,86208010,82163317
,425899,75274748,76270454
,617172,90835030,74273505
,10174663,75305995,70625986
,110536,72266306,56505065
,11529368,70836296,55973336
,321952,70163652,51533608
,85222,115603980,51097664
,,64149837,46836394
,,83906114,44700000
,,72306065,44455658
,,59068786,66489425
,,57887882,41067398
,,53955614,40218903
,,53082743,35143332
,,47781388,35000629
,,47806295,34604054
,,46012734,30538669
,,45856732,28341469
,,45500797,33631221
,,37752931,37738400
,,50562555,21554585
,,37101011,24042490
,,33508922,22466994
,,42071069,17791031
,,32853640,17718223
,,32055248,16118077
,,31836745,17427926
,,30993544,14637490
,,29077547,14589444
,,28535768,14095303
,,27663982,13038660
,,25178165,28831145
,,24332324,10911750
,,22326247,10324441
,,21176322,7156933
,,15962471,9286314
,,14375181,56692
,,14448589,5516708
,,14358033,4064333
,,13376506,1550000
,,13838130,1697956
,,5773519,134904
,,9652000,16969390
,,18438149,34700000
,,80050171,101334374
,,7564000,1512815
,,63411478,57262492
,,42640890,74608545
,,144512310,41895491
,,25335935,39989008
,,5881504,31452765
,,29802761,32416109
,,127214072,28871190
,,58700247,8427204
,,39177215,25003072
,,40334024,23225911
,,10300000,75590286
,,623374,65807024
,,34912982,53302314
,,109712885,40962534
,,41102171,39235088
,,191449475,25556065
,,71026631,21973182
,,68208190,7434726
,,20991497,6777589
,,13052741,176483808
,,14378353,36020063
,,33037754,33313582
,,12339633,22264487
,,37788228,19283782
,,205399422,30059386
,,251188924,19783777
,,255950375,12784713
,,171031347,13746550
,,124732962,1796024
,,81159365,11326836
,,67962333,49024969
,,63826569,24362501
,,56876365,16684352
,,83299761,52008288
,,48169908,8579684
,,43792641,132088910
,,57651794,37721949
,,43894863,17757087
,,37553932,9430988
,,37481242,69700000
,,39026186,153665036
,,33422806,130727000
,,26494611,117224271
,,25266129,137387272
,,25863915,84518155
,,20981633,82624961
,,28064226,56667870
,,25871834,55461307
,,19294901,41573740
,,20275446,37567440
,,34507079,44988180
,,14587732,37672350
,,13264986,35596227
,,13303319,34290142
,,7458269,32774834
,,4651977,34334256
,,102413606,32051917
,,10139254,31838002
,,37432299,30079316
,,6543194,35033759
,,13101142,29753944
,,117559438,31146570
,,21426805,53146000
,,35057332,34126138
,,4280577,26415649
,,60328558,31584722
,,57744720,21200000
,,37911876,20207003
,,54696902,20241395
,,22525921,32000000
,,24185781,19151864
,,53133888,18882880
,,44983704,19661987
,,118099659,18352454
,,170684505,25753840
,,163479795,16248701
,,125014030,14359793
,,116631310,13987482
,,114324072,13630226
,,113502246,13383737
,,108360000,12469811
,,100422786,12398628
,,64286,12626905
,,76806312,10569071
,,66359959,13650738
,,64172251,9714482
,,63536011,8579684
,,60269340,9525276
,,60033780,8093318
,,58156435,6563357
,,56044241,5480996
,,52799004,5005883
,,51109400,5749134
,,53680848,4001121
,,42057340,3081925
,,42478175,1646664
,,42385520,1190018
,,40118420,882710
,,40137776,531009
,,38232624,578382
,,38747385,305070
,,40247512,121972
,,35927406,100292856
,,35565975,58571513
,,34703228,103001286
,,38432823,41867960
,,32095318,40846082
,,31743332,39103378
,,26096584,8396942
,,30513940,6923891
,,22526144,560512
,,20422207,64255243
,,21800302,22245861
,,21129348,10562387
,,18500966,150056505
,,17266505,128505958
,,16323969,65535067
,,14888028,60057639
,,14208384,59735548
,,12831121,51600000
,,12712093,42335698
,,11576087,31471430
,,14334645,26830000
,,12189514,21378000
,,8535575,23993605
,,10965209,45250
,,3101301,18329466
,,480314,15561627
,,183436380,15281286
,,119518352,13491653
,,37036404,7837632
,,63910583,6734844
,,49968653,5887457
,,71346930,3203044
,,30688364,3500000
,,17324744,676698
,,10907291,3419967
,,5532301,121463226
,,49185998,325491
,,42168445,85200000
,,69586544,72219395
,,44087387,82389560
,,30920167,71502303
,,10297897,19179969
,,91457688,47000000
,,65703412,70492685
,,57859105,37939782
,,45489752,41777564
,,33200000,27154426
,,54540525,54239856
,,14469428,220914
,,7496522,43848100
,,12276810,13005485
,,219200000,92823600
